NGC/IC;M-cat;RightAsc.(2000);;Decl.(2000);
205;M110;0;40;41;41
221;M32;0;42;40;51
224;M31;0;42;41;16
581;M13;1;33;60;39
598;M33;1;33;30;39
628;M74;1;36;15;46
650;M76;1;42;51;34
651;M76;1;42;51;34
1039;M34;2;42;42;45
1068;M77;2;42;0;0
1432;M45;3;45;24;22
1435;M45;3;46;23;45
1776;M42;4;58;-66;25
1904;M79;5;24;-24;31
1912;M38;5;28;35;51
1952;M1;5;34;22;0
1960;M36;5;36;34;8
1976;M42;5;35;-5;23
1982;M43;5;35;-5;16
2068;M78;5;46;0;4
2099;M37;5;52;32;33
2168;M35;6;9;24;21
2287;M41;6;45;-20;45
2323;M50;7;2;-8;23
2422;M47;7;36;-14;28
2437;M46;7;41;-14;48
2447;M93;7;44;-23;51
2478;M47;7;36;-14;28
2548;M48;8;13;-5;45
2632;M44;8;39;19;40
2682;M67;8;50;11;48
3031;M81;9;55;69;4
3034;M82;9;55;69;40
3351;M95;10;43;11;42
3368;M96;10;46;11;49
3379;M15;10;47;12;34
3556;M18;11;11;55;40
3587;M97;11;14;55;1
3623;M65;11;18;13;5
3627;M66;11;20;12;59
3992;M19;11;57;53;22
4192;M98;12;13;14;53
4254;M99;12;18;;
4258;M106;12;18;47;18
4303;M61;12;21;4;28
4321;M100;12;22;15;49
4374;M84;12;25;12;53
4382;M85;12;25;18;11
4406;M86;12;26;12;56
4472;M49;12;29;7;59
4486;M87;12;30;12;23
4501;M88;12;31;14;25
4548;M91;12;35;14;29
4552;M89;12;35;12;33
4569;M90;12;36;13;9
4579;M58;12;37;11;49
4590;M68;12;39;-26;44
4594;M14;12;39;-11;37
4621;M59;12;42;11;38
4649;M60;12;43;11;33
4736;M94;12;50;41;7
4826;M64;12;56;21;40
5024;M53;13;12;18;10
5055;M63;13;15;42;1
5194;M51;13;29;47;11
5236;M83;13;37;-29;52
5272;M3;13;42;28;22
5457;M101;14;3;54;20
5866;M12;15;6;55;45
5904;M5;15;18;2;4
6093;M80;16;17;-22;58
6121;M4;16;23;-26;31
6171;M17;16;32;-13;3
6205;M13;16;41;36;27
6218;M12;16;47;-1;56
6254;M10;16;57;-4;5
6266;M62;17;1;-30;6
6273;M19;17;2;-26;16
6333;M9;17;19;-18;30
6341;M92;17;17;43;8
6402;M14;17;37;-3;14
6405;M6;17;40;-32;15
6475;M7;17;53;-34;47
6494;M23;17;57;-18;59
6514;M20;18;2;-22;58
6523;M8;18;3;-24;22
6531;M21;18;4;-22;29
6611;M16;18;18;-13;47
6613;M18;18;19;-17;8
6618;M17;18;20;-16;11
6626;M28;18;24;-24;52
6634;M69;18;31;-32;20
6637;M69;18;31;-32;20
6656;M22;18;36;-23;54
6681;M70;18;43;-32;17
6694;M26;18;45;-9;24
6705;M11;18;51;-6;16
6715;M54;18;55;-30;28
6720;M57;18;53;33;1
6779;M56;19;16;30;11
6809;M55;19;39;-30;57
6838;M71;19;53;18;46
6853;M27;19;59;22;43
6864;M75;20;6;-21;55
6913;M29;20;23;38;32
6981;M72;20;53;-12;32
6994;M73;20;58;-12;38
7078;M15;21;29;12;10
7089;M2;21;33;0;49
7092;M39;21;31;48;26
7099;M30;21;40;-23;10
7654;M52;23;24;61;36
I349;M45;3;46.3;23;56
