NGCNGC/IC;MES-cat;RightAsc.(2000);0;Decl.(2000);0
NGC1;0;0;7;27;42
NGC2;0;0;7;27;40
NGC3;0;0;7;8;18
NGC4;0;0;7;8;22
NGC5;0;0;7;35;21
NGC6;0;0;9;33;18
NGC7;0;0;8;-29;55
NGC8;0;0;8;23;50
NGC9;0;0;8;23;49
NGC10;0;0;8;-33;51
NGC11;0;0;8;37;26
NGC12;0;0;8;4;36
NGC13;0;0;8;33;25
NGC14;0;0;8;15;48
NGC15;0;0;9;21;37
NGC16;0;0;9;27;43
NGC17;0;0;11;-12;6
NGC18;0;0;9;27;43
NGC19;0;0;10;32;58
NGC20;0;0;9;33;18
NGC21;0;0;10;33;21
NGC22;0;0;9;27;49
NGC23;0;0;9;25;55
NGC24;0;0;9;-24;57
NGC25;0;0;9;-57;1
NGC26;0;0;10;25;49
NGC27;0;0;10;28;59
NGC28;0;0;10;-56;59
NGC29;0;0;10;33;21
NGC30;0;0;10;21;58
NGC31;0;0;10;-56;59
NGC32;0;0;10;18;47
NGC33;0;0;10;3;40
NGC34;0;0;11;-12;6
NGC35;0;0;11;-12;1
NGC36;0;0;11;6;23
NGC37;0;0;11;-56;57
NGC38;0;0;11;-5;35
NGC39;0;0;12;31;3
NGC40;0;0;13;72;31
NGC41;0;0;12;22;1
NGC42;0;0;12;22;6
NGC43;0;0;13;30;54
NGC44;0;0;13;31;17
NGC45;0;0;14;-23;10
NGC46;0;0;14;5;59
NGC47;0;0;14;-7;10
NGC48;0;0;14;48;14
NGC49;0;0;14;48;14
NGC50;0;0;14;-7;20
NGC51;0;0;14;48;15
NGC52;0;0;14;18;34
NGC53;0;0;14;-60;19
NGC54;0;0;15;-7;6
NGC55;0;0;15;-39;13
NGC56;0;0;15;12;26
NGC57;0;0;15;17;19
NGC58;0;0;14;-7;10
NGC59;0;0;15;-21;26
NGC60;0;0;15;0;18
NGC61;0;0;16;-6;19
NGC61;0;0;16;-6;19
NGC61;0;0;16;-6;19
NGC61;0;0;16;-6;19
NGC62;0;0;17;-13;29
NGC63;0;0;17;11;26
NGC64;0;0;17;-6;49
NGC65;0;0;18;-22;52
NGC66;0;0;19;-22;56
NGC67;0;0;18;30;3
NGC67;0;0;18;30;3
NGC68;0;0;18;30;4
NGC69;0;0;18;30;2
NGC70;0;0;18;30;4
NGC71;0;0;18;30;3
NGC72;0;0;18;30;2
NGC72;0;0;18;30;2
NGC73;0;0;18;-15;19
NGC74;0;0;18;30;3
NGC75;0;0;19;6;26
NGC76;0;0;19;29;56
NGC77;0;0;20;-22;31
NGC78;0;0;20;0;49
NGC78;0;0;20;0;49
NGC78;0;0;20;0;49
NGC78;0;0;20;0;49
NGC79;0;0;21;22;34
NGC80;0;0;21;22;21
NGC81;0;0;21;22;22
NGC82;0;0;21;22;27
NGC83;0;0;21;22;26
NGC84;0;0;21;22;37
NGC85;0;0;21;22;30
NGC85;0;0;21;22;30
NGC85;0;0;21;22;30
NGC86;0;0;21;22;33
NGC87;0;0;21;-48;37
NGC88;0;0;21;-48;38
NGC89;0;0;21;-48;39
NGC90;0;0;21;22;24
NGC91;0;0;21;22;22
NGC92;0;0;21;-48;37
NGC93;0;0;22;22;24
NGC94;0;0;22;22;28
NGC94;0;0;22;22;28
NGC95;0;0;22;10;29
NGC96;0;0;22;22;32
NGC97;0;0;22;29;44
